auction_no_valid_bids,auction_successes,auction_timeouts,average_communication_latency_steps,benchmark,bids_expected,bids_received,conflicting_maneuver_intents,conjunctions_detected,coordination_attempts,cycles_completed,decision_deadline_misses,decision_to_execution_time_steps,decisions_completed_before_deadline,delta_v_per_resolved_conjunction,detection_to_decision_time_steps,duplicate_maneuver_proposals,estimated_fuel_used,execution_failures,experiment,experiment.seed,fallback_activations,maneuver_burden_gini,maneuver_count,maneuvers_executed,maneuvers_failed,maneuvers_proposed,maneuvers_rejected,messages_delayed_beyond_usefulness,messages_delivered,messages_dropped,messages_sent,minimum_post_maneuver_separation_km,minimum_pre_maneuver_separation_km,mission_disruption_cost,modeled_maneuver_cost,network.latency_steps,network.packet_loss_rate,original_conjunctions,outcome,peak_concurrent_open_risks,per_agent_maneuver_burden,per_agent_resource_consumption,planned_maneuvers,primary_risks_created,proposals_accepted,proposals_rejected,protocol,protocol.name,remaining_fuel_by_agent,resolution_probability,resolved_conjunctions,resource_exhaustion_events,risk_resolution_time_steps,risks_closed,risks_created,risks_expired,risks_resolved,risks_unresolved,run_id,runtime_seconds,safety_validation_failures,scenario,secondary_conjunctions_created,secondary_risks_created,seed,status,successful_agreements,timeouts,total_delta_v_used_km_per_step,total_simulated_resolution_time_steps,unresolved_conjunctions,unresolved_high_risk_conjunctions,worsened_conjunctions
0,0,0,0.0,spacecraft-campaign-v1,0,0,0,4,0,18,0,[],4,,[],0,320.0,0,auction-network-faults-smoke,0,0,0.375,4,4,0,4,0,0,8,0,8,,,0.0,320.0,0,0.0,1,resolved,1,"{'SAT-A': 2, 'SAT-B': 0, 'SAT-C': 1, 'SAT-D': 1}","{'SAT-A': 160.0, 'SAT-B': 0.0, 'SAT-C': 80.0, 'SAT-D': 80.0}",4,3,4,0,centralized,centralized,"{'SAT-A': 0.0, 'SAT-B': 160.0, 'SAT-C': 80.0, 'SAT-D': 80.0}",1.0,4,0,"[1, 1, 1, 1]",0,4,0,4,0,auction-network-faults-smoke-centralized-s0-241e5eb992,0.005296624964103103,0,auction-network-faults-smoke,1,1,0,resumed,4,0,320.0,18,0,0,0
0,0,0,0.0,spacecraft-campaign-v1,0,0,0,4,0,18,0,[],4,,[],0,320.0,0,auction-network-faults-smoke,0,0,0.375,4,4,0,8,4,0,8,0,8,,,0.0,320.0,0,0.0,1,resolved,1,"{'SAT-A': 2, 'SAT-B': 1, 'SAT-C': 1, 'SAT-D': 0}","{'SAT-A': 160.0, 'SAT-B': 80.0, 'SAT-C': 80.0, 'SAT-D': 0.0}",8,3,4,4,greedy,greedy,"{'SAT-A': 0.0, 'SAT-B': 80.0, 'SAT-C': 80.0, 'SAT-D': 160.0}",1.0,4,0,"[1, 1, 1, 1]",0,4,0,4,0,auction-network-faults-smoke-greedy-s0-2fb7f64dc2,0.0062487919349223375,4,auction-network-faults-smoke,1,1,0,resumed,4,0,320.0,18,0,0,0
2,1,0,0.0,spacecraft-campaign-v1,10,6,0,5,0,18,0,[],1,,[],0,80.0,0,auction-network-faults-smoke,0,0,0.75,1,1,0,3,2,0,27,0,27,,,0.0,80.0,0,0.0,1,resolved,3,"{'SAT-A': 1, 'SAT-B': 0, 'SAT-C': 0, 'SAT-D': 0}","{'SAT-A': 80.0, 'SAT-B': 0.0, 'SAT-C': 0.0, 'SAT-D': 0.0}",3,4,1,2,auction,auction,"{'SAT-A': 80.0, 'SAT-B': 160.0, 'SAT-C': 160.0, 'SAT-D': 160.0}",0.2,1,0,[6],4,5,0,1,0,auction-network-faults-smoke-auction-s0-dbecf0c1d5,0.007956458954140544,2,auction-network-faults-smoke,1,1,0,resumed,1,0,80.0,18,0,0,0
0,0,0,0.0,spacecraft-campaign-v1,0,0,0,4,0,18,0,[],3,,[],0,240.0,0,auction-network-faults-smoke,0,0,0.25,3,3,0,3,0,0,6,1,7,,,0.0,240.0,0,0.3,1,resolved,1,"{'SAT-A': 1, 'SAT-B': 0, 'SAT-C': 1, 'SAT-D': 1}","{'SAT-A': 80.0, 'SAT-B': 0.0, 'SAT-C': 80.0, 'SAT-D': 80.0}",3,3,3,0,centralized,centralized,"{'SAT-A': 80.0, 'SAT-B': 160.0, 'SAT-C': 80.0, 'SAT-D': 80.0}",0.75,3,0,"[1, 1, 1]",1,4,0,3,0,auction-network-faults-smoke-centralized-s0-55808174fb,0.004201709059998393,0,auction-network-faults-smoke,1,1,0,resumed,3,0,240.0,18,0,0,0
0,0,0,0.0,spacecraft-campaign-v1,0,0,0,5,0,18,0,[],5,,[],0,400.0,0,auction-network-faults-smoke,0,0,0.15,5,5,0,7,2,0,7,3,10,,,0.0,400.0,0,0.3,1,resolved,2,"{'SAT-A': 1, 'SAT-B': 1, 'SAT-C': 2, 'SAT-D': 1}","{'SAT-A': 80.0, 'SAT-B': 80.0, 'SAT-C': 160.0, 'SAT-D': 80.0}",7,1,5,2,greedy,greedy,"{'SAT-A': 80.0, 'SAT-B': 80.0, 'SAT-C': 0.0, 'SAT-D': 80.0}",1.0,5,0,"[1, 1, 1, 1, 1]",0,5,0,5,0,auction-network-faults-smoke-greedy-s0-d933f9cef7,0.006713167065754533,2,auction-network-faults-smoke,4,4,0,resumed,5,0,400.0,18,0,0,0
2,1,0,0.0,spacecraft-campaign-v1,10,3,0,5,0,18,0,[],1,,[],0,80.0,0,auction-network-faults-smoke,0,0,0.75,1,1,0,3,2,0,18,7,25,,,0.0,80.0,0,0.3,1,resolved,3,"{'SAT-A': 1, 'SAT-B': 0, 'SAT-C': 0, 'SAT-D': 0}","{'SAT-A': 80.0, 'SAT-B': 0.0, 'SAT-C': 0.0, 'SAT-D': 0.0}",3,4,1,2,auction,auction,"{'SAT-A': 80.0, 'SAT-B': 160.0, 'SAT-C': 160.0, 'SAT-D': 160.0}",0.2,1,0,[6],4,5,0,1,0,auction-network-faults-smoke-auction-s0-23a267834e,0.006549915997311473,2,auction-network-faults-smoke,1,1,0,resumed,1,0,80.0,18,0,0,0
0,0,0,1.0,spacecraft-campaign-v1,0,0,0,5,0,18,0,[],3,,[],0,240.0,0,auction-network-faults-smoke,0,0,0.25,3,3,0,5,2,0,10,0,10,,,0.0,240.0,1,0.0,1,resolved,3,"{'SAT-A': 1, 'SAT-B': 0, 'SAT-C': 1, 'SAT-D': 1}","{'SAT-A': 80.0, 'SAT-B': 0.0, 'SAT-C': 80.0, 'SAT-D': 80.0}",5,4,3,2,centralized,centralized,"{'SAT-A': 80.0, 'SAT-B': 160.0, 'SAT-C': 80.0, 'SAT-D': 80.0}",0.6,3,0,"[3, 3, 3]",2,5,0,3,0,auction-network-faults-smoke-centralized-s0-ac5ae5c149,0.005381874972954392,2,auction-network-faults-smoke,1,1,0,resumed,3,0,240.0,18,0,0,0
0,0,0,1.0,spacecraft-campaign-v1,0,0,0,4,0,18,0,[],2,,[],0,160.0,0,auction-network-faults-smoke,0,0,0.5,2,2,0,8,6,0,8,0,8,,,0.0,160.0,1,0.0,1,resolved,3,"{'SAT-A': 1, 'SAT-B': 1, 'SAT-C': 0, 'SAT-D': 0}","{'SAT-A': 80.0, 'SAT-B': 80.0, 'SAT-C': 0.0, 'SAT-D': 0.0}",8,4,2,6,greedy,greedy,"{'SAT-A': 80.0, 'SAT-B': 80.0, 'SAT-C': 160.0, 'SAT-D': 160.0}",0.5,2,0,"[2, 2]",2,4,0,2,0,auction-network-faults-smoke-greedy-s0-cd0f9a3cf4,0.005791375180706382,6,auction-network-faults-smoke,0,0,0,resumed,2,0,160.0,18,0,0,0
2,1,0,1.0,spacecraft-campaign-v1,10,6,0,5,0,18,0,[],1,,[],0,80.0,0,auction-network-faults-smoke,0,0,0.75,1,1,0,3,2,0,27,0,27,,,0.0,80.0,1,0.0,1,resolved,3,"{'SAT-A': 1, 'SAT-B': 0, 'SAT-C': 0, 'SAT-D': 0}","{'SAT-A': 80.0, 'SAT-B': 0.0, 'SAT-C': 0.0, 'SAT-D': 0.0}",3,4,1,2,auction,auction,"{'SAT-A': 80.0, 'SAT-B': 160.0, 'SAT-C': 160.0, 'SAT-D': 160.0}",0.2,1,0,[6],4,5,0,1,0,auction-network-faults-smoke-auction-s0-6a8cb721bd,0.007512208074331284,2,auction-network-faults-smoke,1,1,0,resumed,1,0,80.0,18,0,0,0
0,0,0,1.0,spacecraft-campaign-v1,0,0,0,5,0,18,0,[],2,,[],0,160.0,0,auction-network-faults-smoke,0,0,0.5,2,2,0,2,0,0,6,3,9,,,0.0,160.0,1,0.3,1,resolved,3,"{'SAT-A': 1, 'SAT-B': 0, 'SAT-C': 1, 'SAT-D': 0}","{'SAT-A': 80.0, 'SAT-B': 0.0, 'SAT-C': 80.0, 'SAT-D': 0.0}",2,4,2,0,centralized,centralized,"{'SAT-A': 80.0, 'SAT-B': 160.0, 'SAT-C': 80.0, 'SAT-D': 160.0}",0.4,2,0,"[3, 3]",3,5,0,2,0,auction-network-faults-smoke-centralized-s0-b5742cbed8,0.003794332966208458,0,auction-network-faults-smoke,1,1,0,resumed,2,0,160.0,18,0,0,0
